#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-08T16:08:16 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-08T16:08:16	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=c
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=50	

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	
#INFO	publisher=CDS	
#INFO	creator=Harris W.E.	
#INFO	related_resource=bibcode:1996AJ....112.1487H	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	
#INFO	publication_date=2015-08-06	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	Vt	(F5.2)	? Integrated V magnitude of the cluster	[ucd=phot.mag;em.opt]
#Column	[Fe/H]	(F5.2)	? Metallicity in log (base 10) scale	[ucd=instr.scale]
#Column	SpT	(A4)	Integrated spectral type	[ucd=src.spType]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
_RAJ2000	_DEJ2000	ID	RAJ2000	DEJ2000	Rsun	Rgc	Vt	[Fe/H]	SpT	c
deg	deg	 	"h:m:s"	"d:m:s"	kpc	kpc	mag	Sun	 	
----------	----------	---------	----------	---------	-----	-----	-----	-----	----	-----
006.021667	-72.080833	NGC 104  	00 24 05.2	-72 04 51	  4.3	  7.3	 3.95	-0.76	G4  	 2.04
013.197917	-26.590000	NGC 288  	00 52 47.5	-26 35 24	  8.1	 11.4	 8.09	-1.24	    	 0.96
015.809583	-70.848333	NGC 362  	01 03 14.3	-70 50 54	  8.3	  9.2	 6.40	-1.16	F9  	 1.94
048.063750	-55.216944	NGC 1261 	03 12 15.3	-55 13 01	 16.0	 17.9	 8.29	-1.35	F7  	 1.27
053.345833	+79.580556	Pal 1    	03 33 23.0	+79 34 50	  9.7	 15.9	13.52	-0.80	    	 1.50
058.761250	-49.614444	AM 1     	03 55 02.7	-49 36 52	119.1	120.5	15.72	-1.80	    	 1.23
066.185417	-21.186944	Eridanus 	04 24 44.5	-21 11 13	 80.8	 85.8	14.70	-1.46	    	 1.10
071.524583	+31.380833	Pal 2    	04 46 05.9	+31 22 51	 26.9	 34.8	13.04	-1.30	    	 1.45
078.526250	-40.047222	NGC 1851 	05 14 06.3	-40 02 50	 12.2	 16.8	 7.14	-1.26	F7  	 2.24
081.044167	-24.524167	NGC 1904 	05 24 10.6	-24 31 27	 12.6	 18.5	 7.73	-1.54	F5  	 1.72
102.246667	-36.005278	NGC 2298 	06 48 59.2	-36 00 19	 10.6	 15.6	 9.29	-1.85	F5  	 1.28
114.535417	+38.881944	NGC 2419 	07 38 08.5	+38 52 55	 82.3	 89.6	10.39	-2.12	F5  	 1.40
136.990833	-37.221389	Pyxis    	09 07 57.8	-37 13 17	 38.5	 40.5	12.90	-1.20	    	 0.65
138.010833	-64.863056	NGC 2808 	09 12 02.6	-64 51 47	  9.3	 10.9	 6.20	-1.37	F7  	 1.77
140.247083	-77.282500	E 3      	09 20 59.3	-77 16 57	  4.2	  7.6	11.35	-0.80	    	 0.75
151.380833	 +0.071389	Pal 3    	10 05 31.4	+00 04 17	 89.4	 92.6	14.26	-1.66	    	 1.00
154.403333	-46.411111	NGC 3201 	10 17 36.8	-46 24 40	  5.1	  8.9	 6.75	-1.48	F6  	 1.31
172.320000	+28.973611	Pal 4    	11 29 16.8	+28 58 25	 99.6	102.2	14.20	-1.48	    	 0.78
182.525833	+18.541944	NGC 4147 	12 10 06.2	+18 32 31	 18.8	 20.9	10.32	-1.83	F2/3	 1.80
186.439167	-72.659167	NGC 4372 	12 25 45.4	-72 39 33	  4.9	  6.9	 7.24	-2.09	F5  	 1.30
189.667500	-51.150278	Rup 106  	12 38 40.2	-51 09 01	 20.6	 18.0	10.90	-1.80	    	 0.70
189.866667	-26.742778	NGC 4590 	12 39 28.0	-26 44 34	 10.1	 10.0	 7.84	-2.06	F2/3	 1.64
