#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-09T18:42:35 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-09T18:42:35	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=c
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_7202
#Name: VII/202
#Title: Globular Clusters in the Milky Way (Harris, 1997)
#INFO	ivoid=ivo://cds.vizier/vii/202	
#INFO	publisher=CDS	
#INFO	creator=Harris W.E.	
#INFO	related_resource=bibcode:1996AJ....112.1487H	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/202	
#INFO	publication_date=2015-08-06	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	VII_202_catalog:
#Name: VII/202/catalog
#Title: The catalogue of Globular Clusters
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(A9)	Cluster identification number	[ucd=meta.id;phys.atmol.number]
#Column	RAJ2000	(A10)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Rsun	(F5.1)	? Distance from Sun	[ucd=pos.distance;pos.heliocentric]
#Column	Rgc	(F5.1)	? Distance from Galactic center, assuming R(Sun)=8.0 kpc	[ucd=pos.distance;pos.galactocentric]
#Column	X	(F5.1)	? X-component (1)	[ucd=pos]
#Column	Y	(F5.1)	? Y-component (1)	[ucd=pos]
#Column	Z	(F5.1)	? Z-component (1)	[ucd=pos]
#Column	c	(F5.2)	? Central concentration, c = log(Rt/Rc)	[ucd=em.wl.central]
_RAJ2000	_DEJ2000	ID	RAJ2000	DEJ2000	Rsun	Rgc	X	Y	Z	c
deg	deg	 	"h:m:s"	"d:m:s"	kpc	kpc	kpc	kpc	kpc	
----------	----------	---------	----------	---------	-----	-----	-----	-----	-----	-----
006.021667	-72.080833	NGC 104  	00 24 05.2	-72 04 51	  4.3	  7.3	  1.8	 -2.5	 -3.0	 2.04
013.197917	-26.590000	NGC 288  	00 52 47.5	-26 35 24	  8.1	 11.4	 -0.1	  0.0	 -8.1	 0.96
015.809583	-70.848333	NGC 362  	01 03 14.3	-70 50 54	  8.3	  9.2	  3.0	 -4.9	 -6.0	 1.94
048.063750	-55.216944	NGC 1261 	03 12 15.3	-55 13 01	 16.0	 17.9	  0.1	 -9.8	-12.6	 1.27
053.345833	+79.580556	Pal 1    	03 33 23.0	+79 34 50	  9.7	 15.9	 -5.9	  7.0	  3.2	 1.50
058.761250	-49.614444	AM 1     	03 55 02.7	-49 36 52	119.1	120.5	-15.9	-77.4	-89.2	 1.23
066.185417	-21.186944	Eridanus 	04 24 44.5	-21 11 13	 80.8	 85.8	-47.7	-37.4	-53.4	 1.10
071.524583	+31.380833	Pal 2    	04 46 05.9	+31 22 51	 26.9	 34.8	-26.2	  4.4	 -4.2	 1.45
078.526250	-40.047222	NGC 1851 	05 14 06.3	-40 02 50	 12.2	 16.8	 -4.3	 -9.0	 -7.0	 2.24
081.044167	-24.524167	NGC 1904 	05 24 10.6	-24 31 27	 12.6	 18.5	 -7.5	 -8.1	 -6.2	 1.72
102.246667	-36.005278	NGC 2298 	06 48 59.2	-36 00 19	 10.6	 15.6	 -4.2	 -9.3	 -2.9	 1.28
114.535417	+38.881944	NGC 2419 	07 38 08.5	+38 52 55	 82.3	 89.6	-74.4	 -0.5	 35.1	 1.40
136.990833	-37.221389	Pyxis    	09 07 57.8	-37 13 17	 38.5	 40.5	 -5.8	-37.8	  4.7	 0.65
138.010833	-64.863056	NGC 2808 	09 12 02.6	-64 51 47	  9.3	 10.9	  1.9	 -8.9	 -1.8	 1.77
140.247083	-77.282500	E 3      	09 20 59.3	-77 16 57	  4.2	  7.6	  1.5	 -3.7	 -1.4	 0.75
151.380833	 +0.071389	Pal 3    	10 05 31.4	+00 04 17	 89.4	 92.6	-33.1	-57.7	 59.6	 1.00
154.403333	-46.411111	NGC 3201 	10 17 36.8	-46 24 40	  5.1	  8.9	  0.6	 -5.0	  0.8	 1.31
172.320000	+28.973611	Pal 4    	11 29 16.8	+28 58 25	 99.6	102.2	-28.8	-11.8	 94.6	 0.78
182.525833	+18.541944	NGC 4147 	12 10 06.2	+18 32 31	 18.8	 20.9	 -1.2	 -4.0	 18.3	 1.80
186.439167	-72.659167	NGC 4372 	12 25 45.4	-72 39 33	  4.9	  6.9	  2.5	 -4.2	 -0.8	 1.30
189.667500	-51.150278	Rup 106  	12 38 40.2	-51 09 01	 20.6	 18.0	 10.4	-17.3	  4.2	 0.70
189.866667	-26.742778	NGC 4590 	12 39 28.0	-26 44 34	 10.1	 10.0	  4.0	 -7.1	  5.9	 1.64
194.895833	-70.874722	NGC 4833 	12 59 35.0	-70 52 29	  5.9	  6.9	  3.2	 -4.8	 -0.8	 1.25
198.230417	+18.169167	NGC 5024 	13 12 55.3	+18 10 09	 18.4	 18.9	  2.9	 -1.5	 18.2	 1.78
199.112500	+17.698056	NGC 5053 	13 16 27.0	+17 41 53	 16.2	 16.8	  2.8	 -1.3	 15.9	 0.82
201.691250	-47.476944	NGC 5139 	13 26 45.9	-47 28 37	  5.1	  6.3	  3.1	 -3.8	  1.3	 1.24
205.546667	+28.375556	NGC 5272 	13 42 11.2	+28 22 32	 10.0	 11.9	  1.5	  1.3	  9.8	 1.85
206.610417	-51.373333	NGC 5286 	13 46 26.5	-51 22 24	 10.7	  8.2	  7.0	 -7.9	  2.0	 1.46
208.958750	-27.172778	AM 4     	13 55 50.1	-27 10 22	 29.2	 24.8	 18.7	-15.6	 16.1	 0.50
211.363750	+28.534444	NGC 5466 	14 05 27.3	+28 32 04	 16.6	 16.9	  3.5	  3.2	 15.9	 1.43
217.405417	 -5.976389	NGC 5634 	14 29 37.3	-05 58 35	 25.3	 21.3	 15.7	 -5.1	 19.2	 1.60
219.902083	-26.538333	NGC 5694 	14 39 36.5	-26 32 18	 33.9	 28.3	 25.6	-14.1	 17.1	 1.84
225.077083	-82.213611	IC 4499  	15 00 18.5	-82 12 49	 18.4	 15.4	 10.5	-13.7	 -6.4	 1.11
225.993750	-33.067778	NGC 5824 	15 03 58.5	-33 04 04	 31.3	 25.1	 25.7	-13.4	 11.7	 2.45
229.022083	 -0.111389	Pal 5    	15 16 05.3	-00 06 41	 22.6	 18.0	 15.8	  0.2	 16.2	 0.74
229.352083	-21.010278	NGC 5897 	15 17 24.5	-21 00 37	 12.7	  7.6	 10.5	 -3.2	  6.4	 0.79
229.640833	 +2.082778	NGC 5904 	15 18 33.8	+02 04 58	  7.3	  6.1	  5.0	  0.3	  5.3	 1.87
232.002083	-50.672778	NGC 5927 	15 28 00.5	-50 40 22	  7.4	  4.5	  6.2	 -4.1	  0.6	 1.60
233.868750	-50.659444	NGC 5946 	15 35 28.5	-50 39 34	 12.3	  7.1	 10.4	 -6.6	  0.9	 2.50
234.780417	-50.050556	BH 176   	15 39 07.3	-50 03 02	 15.2	  9.4	 12.9	 -8.0	  1.2	
236.514583	-37.786111	NGC 5986 	15 46 03.5	-37 47 10	 10.3	  4.7	  9.2	 -3.9	  2.4	 1.22
242.762500	-55.314444	Lynga 7  	16 11 03.0	-55 18 52	  7.0	  4.2	  6.0	 -3.6	 -0.3	
242.770417	+14.958056	Pal 14   	16 11 04.9	+14 57 29	 72.2	 67.3	 46.9	 25.7	 48.5	 0.72
244.260417	-22.975000	NGC 6093 	16 17 02.5	-22 58 30	  8.7	  3.1	  8.1	 -1.0	  2.9	 1.95
245.897917	-26.525278	NGC 6121 	16 23 35.5	-26 31 31	  2.2	  6.0	  2.0	 -0.3	  0.6	 1.59
246.452500	-72.201667	NGC 6101 	16 25 48.6	-72 12 06	 15.1	 11.0	 10.8	 -9.8	 -4.1	 0.80
246.808750	-26.024722	NGC 6144 	16 27 14.1	-26 01 29	 10.1	  3.4	  9.6	 -1.4	  2.7	 1.55
246.918333	-38.848889	NGC 6139 	16 27 40.4	-38 50 56	 10.5	  3.9	  9.9	 -3.2	  1.3	 1.80
247.167083	-35.353611	Terzan 3 	16 28 40.1	-35 21 13	 26.4	 18.9	 25.2	 -6.7	  4.2	 0.70
248.132917	-13.053611	NGC 6171 	16 32 31.9	-13 03 13	  6.3	  3.3	  5.8	  0.3	  2.4	 1.51
249.856250	-28.397778	1636-283 	16 39 25.5	-28 23 52	  7.6	  2.0	  7.4	 -1.0	  1.6	
250.422917	+36.460278	NGC 6205 	16 41 41.5	+36 27 37	  7.0	  8.3	  2.7	  4.5	  4.6	 1.49
251.745417	+47.527778	NGC 6229 	16 46 58.9	+47 31 40	 29.3	 28.7	  6.3	 21.4	 19.0	 1.61
251.810417	 -1.947778	NGC 6218 	16 47 14.5	-01 56 52	  4.7	  4.6	  4.1	  1.2	  2.1	 1.38
253.355833	-22.177222	NGC 6235 	16 53 25.4	-22 10 38	  9.7	  2.7	  9.5	 -0.2	  2.3	 1.33
254.287083	 -4.099444	NGC 6254 	16 57 08.9	-04 05 58	  4.3	  4.6	  3.8	  1.0	  1.7	 1.40
254.885833	-37.121389	NGC 6256 	16 59 32.6	-37 07 17	  9.3	  2.3	  9.1	 -2.0	  0.5	 2.50
255.010000	 -0.541944	Pal 15   	17 00 02.4	-00 32 31	 43.6	 36.9	 37.6	 12.8	 17.9	 0.60
255.302500	-30.112222	NGC 6266 	17 01 12.6	-30 06 44	  6.7	  1.8	  6.6	 -0.7	  0.9	 1.70
255.657083	-26.268056	NGC 6273 	17 02 37.7	-26 16 05	  8.5	  1.5	  8.4	 -0.5	  1.4	 1.53
256.120000	-24.764722	NGC 6284 	17 04 28.8	-24 45 53	 14.3	  6.6	 14.1	 -0.4	  2.5	 2.50
256.289167	-22.708056	NGC 6287 	17 05 09.4	-22 42 29	  8.4	  1.6	  8.3	  0.0	  1.6	 1.60
257.543333	-26.581667	NGC 6293 	17 10 10.4	-26 34 54	  8.8	  1.5	  8.7	 -0.4	  1.2	 2.50
258.635417	-29.462222	NGC 6304 	17 14 32.5	-29 27 44	  6.0	  2.2	  5.9	 -0.4	  0.6	 1.80
259.155833	-28.140000	NGC 6316 	17 16 37.4	-28 08 24	 11.5	  3.7	 11.4	 -0.6	  1.2	 1.55
259.280417	+43.136389	NGC 6341 	17 17 07.3	+43 08 11	  8.1	  9.5	  2.4	  6.1	  4.6	 1.81
259.496667	-23.765833	NGC 6325 	17 17 59.2	-23 45 57	  9.4	  1.9	  9.3	  0.2	  1.3	 2.50
259.799167	-18.516389	NGC 6333 	17 19 11.8	-18 30 59	  8.3	  1.7	  8.1	  0.8	  1.5	 1.15
260.292500	-19.587222	NGC 6342 	17 21 10.2	-19 35 14	  9.1	  1.9	  8.9	  0.8	  1.5	 2.50
260.895833	-17.813056	NGC 6356 	17 23 35.0	-17 48 47	 14.6	  7.0	 14.3	  1.7	  2.6	 1.54
260.994167	-26.353611	NGC 6355 	17 23 58.6	-26 21 13	  7.1	  1.2	  7.0	 -0.1	  0.7	 2.50
261.371667	-48.422778	NGC 6352 	17 25 29.2	-48 25 22	  5.6	  3.3	  5.2	 -1.8	 -0.7	 1.10
261.785417	 -7.093056	IC 1257  	17 27 08.5	-07 05 35	 24.5	 17.3	 22.6	  6.7	  6.4	
261.889167	-30.802222	Terzan 2 	17 27 33.4	-30 48 08	  9.5	  1.6	  9.5	 -0.6	  0.4	 2.50
261.934583	 -5.076667	NGC 6366 	17 27 44.3	-05 04 36	  3.6	  4.9	  3.3	  1.1	  1.0	 0.92
262.662083	-31.595556	Terzan 4 	17 30 38.9	-31 35 44	  8.9	  1.1	  8.9	 -0.6	  0.2	
262.771667	-29.981667	HP 1     	17 31 05.2	-29 58 54	  7.2	  0.9	  7.2	 -0.3	  0.3	 2.50
262.978333	-67.048056	NGC 6362 	17 31 54.8	-67 02 53	  7.5	  5.1	  5.9	 -4.0	 -2.3	 1.10
263.352083	-33.388889	Liller 1 	17 33 24.5	-33 23 20	 10.5	  2.6	 10.5	 -0.9	  0.0	 2.30
263.949167	-30.469722	Terzan 1 	17 35 47.8	-30 28 11	  6.5	  1.5	  6.5	 -0.3	  0.1	 2.50
264.043750	-38.553333	Ton 2    	17 36 10.5	-38 33 12	  7.9	  1.4	  7.8	 -1.3	 -0.5	 1.30
264.070833	-44.735000	NGC 6388 	17 36 17.0	-44 44 06	 11.5	  4.4	 11.1	 -2.9	 -1.4	 1.70
264.400417	 -3.245833	NGC 6402 	17 37 36.1	-03 14 45	  8.7	  3.8	  7.8	  3.1	  2.2	 1.60
264.653750	-23.908889	NGC 6401 	17 38 36.9	-23 54 32	  7.5	  0.9	  7.5	  0.5	  0.5	 1.69
265.172083	-53.673611	NGC 6397 	17 40 41.3	-53 40 25	  2.2	  6.0	  2.0	 -0.8	 -0.5	 2.50
265.925833	-26.222500	Pal 6    	17 43 42.2	-26 13 21	  6.7	  1.4	  6.7	  0.2	  0.2	 1.10
266.227917	 +3.170278	NGC 6426 	17 44 54.7	+03 10 13	 19.9	 13.8	 16.8	  9.0	  5.6	 1.70
266.867917	-33.065556	Djorg 1  	17 47 28.3	-33 03 56	  9.2	  1.4	  9.2	 -0.5	 -0.4	 1.50
267.020417	-24.812500	Terzan 5 	17 48 04.9	-24 48 45	  8.0	  0.6	  8.0	  0.5	  0.2	 1.74
267.219167	-20.359444	NGC 6440 	17 48 52.6	-20 21 34	  8.0	  1.2	  7.9	  1.1	  0.5	 1.70
267.553750	-37.051111	NGC 6441 	17 50 12.9	-37 03 04	  9.7	  2.1	  9.6	 -1.1	 -0.8	 1.85
267.693333	-31.275278	Terzan 6 	17 50 46.4	-31 16 31	  7.5	  0.6	  7.5	 -0.2	 -0.3	 2.50
267.715833	-34.598611	NGC 6453 	17 50 51.8	-34 35 55	 10.9	  3.1	 10.9	 -0.8	 -0.7	 2.50
268.613333	-24.145278	UKS 1    	17 54 27.2	-24 08 43	  7.5	  0.8	  7.5	  0.7	  0.1	 2.10
